symbol,negative_total_20251031,negative_far_from_zero_share_20251031,negative_mid_range_share_20251031,negative_near_zero_share_20251031,negative_total_20251103,negative_far_from_zero_share_20251103,negative_mid_range_share_20251103,negative_near_zero_share_20251103,positive_total_20251031,positive_near_zero_share_20251031,positive_mid_range_share_20251031,positive_far_from_zero_share_20251031,positive_total_20251103,positive_near_zero_share_20251103,positive_mid_range_share_20251103,positive_far_from_zero_share_20251103,mode_position_sec_20251031,mode_position_sec_20251103,round_lot_20251031,round_lot_20251103,treated_to40,treated_to10,group_label,group_order,actual_transition,y_pre,y_post,delta_y,outcome,display_name,side,family,transform
FULC,7.732285690939442,0.6870471014492754,0.28079710144927533,0.03215579710144926,9.784128376033879,0.7786324786324786,0.20106837606837608,0.020299145299145296,13.752122241086587,0.01807995925642984,0.13878278584160936,0.8431372549019608,14.841351996039425,0.014790815607832086,0.13424425975489507,0.8509649246372728,0.0001486550027038,0.0001437429964425,100.0,100.0,0,0,stay100,0,100->100,13.752122241086587,14.841351996039425,0.07123678284159363,positive_total,Positive total,positive,sum,log1p
FULT,1.5700829318008616,0.6912280701754386,0.27473684210526317,0.03403508771929819,0.7414817578543136,0.5959129861568887,0.35794330916282147,0.04614370468028994,3.312048626662028,0.012807717897538238,0.1127744510978044,0.8744178310046574,2.5221132963271318,0.009496124031007733,0.08468992248062013,0.905813953488372,0.0001314890032517,0.0001344039992545,100.0,100.0,0,0,stay100,0,100->100,3.312048626662028,2.5221132963271318,-0.20235193286248498,positive_total,Positive total,positive,sum,log1p
FUTU,2.619100371284764,0.7745864997764863,0.20496200268216364,0.02045149754134999,2.4731476063036846,0.7147141143542585,0.25609756097560976,0.029188324670131945,5.24727451453084,0.010989010989010988,0.11228872650192451,0.8767222625090646,6.147764361611358,0.012626668811323781,0.1109860061122728,0.8763873250764034,0.0001472720032325,0.0001478260019212,100.0,100.0,0,0,stay100,0,100->100,5.24727451453084,6.147764361611358,0.13465434015092925,positive_total,Positive total,positive,sum,log1p
FWON A,5.5235030456269385,0.6891385767790262,0.27715355805243447,0.03370786516853933,3.3312909696750963,0.7278911564625851,0.23809523809523808,0.03401360544217687,9.040340190782668,0.011441647597254002,0.17162471395881004,0.816933638443936,7.81833594923747,0.0028985507246376808,0.08115942028985508,0.9159420289855073,0.0001597340014996,0.0001087669952539,100.0,100.0,0,0,stay100,0,100->100,9.040340190782668,7.81833594923747,-0.1297778129018723,positive_total,Positive total,positive,sum,log1p
FWON K,4.777643246542008,0.7783589408303366,0.20104609349460606,0.0205949656750572,5.27705534194496,0.7742410845859122,0.20542292956086058,0.020335985853227233,10.130040567855984,0.009250693802035153,0.10283687943262412,0.8879124267653408,9.924223441482697,0.012380504623099826,0.10734994514966308,0.8802695502272371,0.0001579039962962,0.0001412339988746,100.0,100.0,0,0,stay100,0,100->100,10.130040567855984,9.924223441482697,-0.018665152607360902,positive_total,Positive total,positive,sum,log1p
FWRD,6.262010588963655,0.6937212863705973,0.28101071975497705,0.025267993874425732,5.3249118571522684,0.7076149425287356,0.2636494252873563,0.028735632183908046,13.449417842299427,0.01532976827094474,0.12192513368983961,0.8627450980392156,10.292151833094955,0.014681286006318522,0.11373350678312581,0.8715852072105557,0.0001426320013706,0.0001520990044809,100.0,100.0,0,0,stay100,0,100->100,13.449417842299427,10.292151833094955,-0.2465461696394584,positive_total,Positive total,positive,sum,log1p
FWRG,3.72326683936015,0.6531645569620254,0.29957805907173,0.04725738396624472,3.5932605456038447,0.7228099873042743,0.24820143884892082,0.028988573846804894,8.825870507816592,0.015663937344250617,0.13741545033819863,0.8469206123175508,6.676348042942733,0.01343810499943058,0.11809588885092816,0.8684660061496412,0.0001654940060689,0.0001410839977324,100.0,100.0,0,0,stay100,0,100->100,8.825870507816592,6.676348042942733,-0.2468748363104254,positive_total,Positive total,positive,sum,log1p
FYBR,2.4660874491234774,0.7550561797752807,0.22022471910112357,0.024719101123595495,4.193331169491772,0.7809611829944547,0.1940850277264325,0.024953789279112747,6.240032511714686,0.010657193605683837,0.11634103019538186,0.8730017761989343,8.243267465350277,0.014574518100611186,0.11001410437235544,0.8754113775270334,0.0001348890000372,0.0001445029993192,100.0,100.0,0,0,stay100,0,100->100,6.240032511714686,8.243267465350277,0.24426974797942935,positive_total,Positive total,positive,sum,log1p
GABC,7.309680008121868,0.6476190476190476,0.3142857142857143,0.0380952380952381,5.770973212833679,0.7119565217391304,0.2663043478260869,0.02173913043478259,13.575120015083467,0.015384615384615382,0.11282051282051282,0.8717948717948717,14.67834491090305,0.006410256410256407,0.11538461538461539,0.8782051282051283,0.0001768970032571,0.0001375989959342,100.0,100.0,0,0,stay100,0,100->100,13.575120015083467,14.67834491090305,0.07296448868574057,positive_total,Positive total,positive,sum,log1p
GAIN,10.789210789210788,0.632,0.312,0.05600000000000001,8.580183861082737,0.6904761904761904,0.2738095238095238,0.035714285714285705,21.83736263736263,0.011857707509881424,0.12648221343873522,0.8616600790513834,22.47191011235955,0.009090909090909089,0.17272727272727276,0.8181818181818182,0.0001165850044344,0.0001247029940714,100.0,100.0,0,0,stay100,0,100->100,21.83736263736263,22.47191011235955,0.027406484922730012,positive_total,Positive total,positive,sum,log1p
GALT,14.899706257901787,0.7203647416413375,0.25531914893617025,0.024316109422492398,21.18667735745367,0.746268656716418,0.22962112514351318,0.024110218140068886,21.35322644559481,0.015906680805938492,0.15164369034994699,0.8324496288441146,31.670555590590908,0.009216589861751152,0.11290322580645162,0.8778801843317972,0.0001486990004195,0.0001479830025346,100.0,100.0,0,0,stay100,0,100->100,21.35322644559481,31.670555590590908,0.37950356098573845,positive_total,Positive total,positive,sum,log1p
GAMB,9.544919366347939,0.7165685449957947,0.24810765349032796,0.03532380151387721,6.867167919799499,0.6700729927007298,0.291970802919708,0.03795620437956204,17.97399029541887,0.012058954890576148,0.1205895489057615,0.8673514962036623,17.2531328320802,0.018012783265543286,0.10981987216734458,0.8721673445671121,0.000116210001579,0.000116600000183,100.0,100.0,0,0,stay100,0,100->100,17.97399029541887,17.2531328320802,-0.03873238217517194,positive_total,Positive total,positive,sum,log1p
GAME,6.992463678035895,0.696,0.304,0.0,4.813942017865951,0.5901639344262294,0.3278688524590163,0.08196721311475408,13.257711133556056,0.0,0.05485232067510549,0.9451476793248945,11.837562339014635,0.006666666666666661,0.12666666666666665,0.8666666666666667,0.0001321860036114,0.0001345839991699,100.0,100.0,0,0,stay100,0,100->100,13.257711133556056,11.837562339014635,-0.10492246128299554,positive_total,Positive total,positive,sum,log1p
GANX,7.850553269786103,0.56640625,0.39453124999999994,0.03906249999999999,10.63119063525721,0.7081967213114754,0.25901639344262295,0.03278688524590164,19.35038716107434,0.012678288431061805,0.1410459587955626,0.8462757527733755,22.133790338978123,0.009448818897637792,0.10236220472440946,0.8881889763779527,0.0001169589959317,0.0001308159990003,100.0,100.0,0,0,stay100,0,100->100,19.35038716107434,22.133790338978123,0.12819439711490777,positive_total,Positive total,positive,sum,log1p
GASS,12.019810428298491,0.6,0.36666666666666664,0.03333333333333333,7.535405718357531,0.6595744680851063,0.31914893617021284,0.02127659574468084,36.860751980115374,0.005434782608695651,0.09782608695652173,0.8967391304347826,22.44588937383094,0.014285714285714282,0.11428571428571428,0.8714285714285714,0.0001165599969681,0.0001315350018558,100.0,100.0,0,0,stay100,0,100->100,36.860751980115374,22.44588937383094,-0.47921982141077857,positive_total,Positive total,positive,sum,log1p
GBDC,3.8657285712687774,0.7070652173913045,0.26358695652173914,0.029347826086956522,3.7201078142357273,0.696376811594203,0.27173913043478265,0.031884057971014484,9.271445752722347,0.013822796283707226,0.11352821210061181,0.8726489916156809,8.57781381514354,0.01508485229415462,0.10999371464487745,0.8749214330609679,0.0001178749953396,0.0001285429971176,100.0,100.0,0,0,stay100,0,100->100,9.271445752722347,8.57781381514354,-0.06991842546873883,positive_total,Positive total,positive,sum,log1p
GBFH,27.150837988826815,0.6825396825396826,0.2857142857142857,0.031746031746031744,22.586872586872584,0.7692307692307693,0.20979020979020985,0.02097902097902098,49.992019154030324,0.017241379310344827,0.15517241379310343,0.8275862068965517,26.06177606177606,0.012121212121212118,0.11515151515151514,0.8727272727272727,0.000162497999554,0.0001148520022979,100.0,100.0,0,0,stay100,0,100->100,49.992019154030324,26.06177606177606,-0.6335468785022673,positive_total,Positive total,positive,sum,log1p
GBIO,38.7958512522135,0.6901408450704226,0.29577464788732394,0.014084507042253525,9.730526660660168,0.5804195804195804,0.41258741258741266,0.006993006993006989,47.538578294965845,0.01149425287356322,0.05747126436781609,0.9310344827586208,16.535090759023923,0.00823045267489712,0.1934156378600823,0.7983539094650206,0.0001496810000389,0.000130275999254,100.0,100.0,0,0,stay100,0,100->100,47.538578294965845,16.535090759023923,-1.0181548510628913,positive_total,Positive total,positive,sum,log1p
GCMG,2.903208011579208,0.7035830618892508,0.27198697068403904,0.024429967426710084,3.8100016462970077,0.8098765432098765,0.16049382716049382,0.029629629629629606,9.395235047244116,0.007549068948163055,0.0785103170608958,0.9139406139909411,8.109188689155607,0.009280742459396748,0.10208816705336428,0.888631090487239,0.0001501489969086,0.0001348690057056,100.0,100.0,0,0,stay100,0,100->100,9.395235047244116,8.109188689155607,-0.1320638824886129,positive_total,Positive total,positive,sum,log1p
