symbol,negative_total_20251031,negative_far_from_zero_share_20251031,negative_mid_range_share_20251031,negative_near_zero_share_20251031,negative_total_20251103,negative_far_from_zero_share_20251103,negative_mid_range_share_20251103,negative_near_zero_share_20251103,positive_total_20251031,positive_near_zero_share_20251031,positive_mid_range_share_20251031,positive_far_from_zero_share_20251031,positive_total_20251103,positive_near_zero_share_20251103,positive_mid_range_share_20251103,positive_far_from_zero_share_20251103,mode_position_sec_20251031,mode_position_sec_20251103,mean_close_202509,n_close_obs_202509,round_lot_20251031,round_lot_20251103,y_pre,y_post,delta_y,display_name,side,family,transform,running,D_rule,expected_post_round_lot,rule_consistent,D_actual
ACRE,4.400977995110025,0.52,0.43199999999999994,0.048,4.644274272001588,0.5034965034965034,0.4405594405594405,0.055944055944055944,17.287041564792176,0.014256619144602847,0.2484725050916497,0.7372708757637475,15.686604708928439,0.018633540372670804,0.27122153209109734,0.7101449275362319,6.45899999653e-05,6.90599990775e-05,4.809523809523809,21.0,100.0,100.0,17.287041564792176,15.686604708928439,-0.09158641348472907,Positive total,positive,sum,log1p,-245.1904761904762,0,100.0,True,0
ACVA,4.228079575821069,0.5233463035019454,0.3540856031128406,0.12256809338521404,3.1282466426079196,0.6551889048302247,0.2615973218555715,0.08321377331420374,13.449241452271302,0.038837920489296636,0.2850152905198777,0.6761467889908257,9.333874128756964,0.023401186087514018,0.26590799807661486,0.710690815835871,6.59270008327e-05,7.53369968151e-05,10.501428571428571,21.0,100.0,100.0,13.449241452271302,9.333874128756964,-0.33521466903944086,Positive total,positive,sum,log1p,-239.49857142857144,0,100.0,True,0
AD,6.042380586054969,0.6041666666666667,0.27083333333333337,0.125,2.536496124797587,0.6052631578947368,0.31578947368421056,0.07894736842105263,32.22602979229317,0.015625,0.1640625,0.8203125,23.495964103388175,0.019886363636363636,0.23295454545454544,0.7471590909090908,8.23919981485e-05,7.8339005995e-05,50.18190476190476,21.0,100.0,100.0,32.22602979229317,23.495964103388175,-0.3048252251127379,Positive total,positive,sum,log1p,-199.81809523809522,0,100.0,True,0
ADC,3.8059582869418302,0.6367305751765893,0.30676084762865796,0.05650857719475276,3.684453329232662,0.6118530884808012,0.31218697829716197,0.07595993322203673,9.943114031172955,0.022016222479721893,0.21707222865971418,0.7609115488605639,9.171151776103336,0.02112676056338028,0.2233400402414487,0.7555331991951711,9.70499968389e-05,0.0001023180011543,71.84590476190476,21.0,100.0,100.0,9.943114031172955,9.171151776103336,-0.07315494688046131,Positive total,positive,sum,log1p,-178.15409523809524,0,100.0,True,0
ADCT,1.9062879117357565,0.42651296829971186,0.41498559077809805,0.15850144092219018,3.701892006726818,0.5145833333333333,0.39999999999999997,0.08541666666666667,7.191155263579555,0.042016806722689065,0.33766233766233766,0.6203208556149733,12.115984047016315,0.02100572883513685,0.3074474856779122,0.6715467854869509,5.68830000702e-05,7.01430035405e-05,3.435714285714286,21.0,100.0,100.0,7.191155263579555,12.115984047016315,0.47077669694082447,Positive total,positive,sum,log1p,-246.56428571428572,0,100.0,True,0
ADM,1.2349437703596802,0.6205923836389281,0.2997179125528914,0.07968970380818051,1.2406725492666417,0.6635816751503933,0.27533549282739467,0.06108283202221191,3.119582923433268,0.024008933556672246,0.2493020658849805,0.7266890005583473,3.2173664813004446,0.030335474660956433,0.2221627408993576,0.747501784439686,8.88369977474e-05,7.39949973649e-05,61.32142857142857,21.0,100.0,100.0,3.119582923433268,3.2173664813004446,0.02345895061897596,Positive total,positive,sum,log1p,-188.67857142857144,0,100.0,True,0
ADNT,4.411039805456056,0.574712643678161,0.2988505747126437,0.12643678160919541,4.768757853363304,0.6126914660831511,0.3150984682713348,0.07221006564551423,13.13171620244964,0.03474903474903474,0.2664092664092664,0.6988416988416989,11.311451888502894,0.026752767527675275,0.26845018450184505,0.7047970479704797,-3.7279969546943903e-06,6.59560027997e-05,24.39714285714286,21.0,100.0,100.0,13.13171620244964,11.311451888502894,-0.13789177031745048,Positive total,positive,sum,log1p,-225.60285714285715,0,100.0,True,0
ADT,1.6843298812842673,0.5157232704402516,0.40880503144654085,0.07547169811320753,2.1099434660965484,0.707492795389049,0.25504322766570603,0.03746397694524495,6.872383713730619,0.01579961464354527,0.16339113680154144,0.8208092485549133,5.480583220293052,0.017566568047337267,0.18028846153846156,0.8021449704142012,4.04169986722e-05,5.22260015713e-05,8.682142857142857,21.0,100.0,100.0,6.872383713730619,5.480583220293052,-0.19455039323849177,Positive total,positive,sum,log1p,-241.31785714285715,0,100.0,True,0
AEE,1.3003764084310525,0.6480686695278971,0.2696709585121603,0.08226037195994274,1.2412100104142947,0.5927152317880795,0.3203642384105959,0.0869205298013245,3.648123228802996,0.026007139214686382,0.21443141254462011,0.7595614482406936,3.704107688363851,0.02330097087378638,0.24438280166435505,0.7323162274618586,7.61999981477e-05,7.22250042599e-05,100.35571428571427,21.0,100.0,100.0,3.648123228802996,3.704107688363851,0.011972571849656832,Positive total,positive,sum,log1p,-149.64428571428573,0,100.0,True,0
AEG,1.5716794574634403,0.6105990783410138,0.34101382488479265,0.04838709677419355,1.4244963622173594,0.5077720207253885,0.41450777202072536,0.07772020725388598,3.758993725454035,0.02986512524084777,0.3304431599229287,0.6396917148362236,5.277279269354466,0.022377622377622367,0.3076923076923077,0.66993006993007,6.37699995422e-05,6.79820004734e-05,7.764731095238095,21.0,100.0,100.0,3.758993725454035,5.277279269354466,0.27690040556255613,Positive total,positive,sum,log1p,-242.2352689047619,0,100.0,True,0
